id,category,value
0,A,1.0
1,B,1.0
2,C,1.0
3,D,1.0
4,E,1.0
5,A,1.0
6,B,1.0
7,C,1.0
8,D,1.0
9,E,1.0
10,A,1.0
11,B,1.0
12,C,1.0
13,D,1.0
14,E,1.0
15,A,1.0
16,B,1.0
17,C,1.0
18,D,1.0
19,E,1.0
20,A,1.0
21,B,1.0
22,C,1.0
23,D,1.0
24,E,1.0
25,A,1.0
26,B,1.0
27,C,1.0
28,D,1.0
29,E,1.0
30,A,1.0
31,B,1.0
32,C,1.0
33,D,1.0
34,E,1.0
35,A,1.0
36,B,1.0
37,C,1.0
38,D,1.0
39,E,1.0
40,A,1.0
41,B,1.0
42,C,1.0
43,D,1.0
44,E,1.0
45,A,1.0
46,B,1.0
47,C,1.0
48,D,1.0
49,E,1.0
50,A,1.0
51,B,1.0
52,C,1.0
53,D,1.0
54,E,1.0
55,A,1.0
56,B,1.0
57,C,1.0
58,D,1.0
59,E,1.0
60,A,1.0
61,B,1.0
62,C,1.0
63,D,1.0
64,E,1.0
65,A,1.0
66,B,1.0
67,C,1.0
68,D,1.0
69,E,1.0
70,A,1.0
71,B,1.0
72,C,1.0
73,D,1.0
74,E,1.0
75,A,1.0
76,B,1.0
77,C,1.0
78,D,1.0
79,E,1.0
80,A,1.0
81,B,1.0
82,C,1.0
83,D,1.0
84,E,1.0
85,A,1.0
86,B,1.0
87,C,1.0
88,D,1.0
89,E,1.0
90,A,1.0
91,B,1.0
92,C,1.0
93,D,1.0
94,E,1.0
95,A,1.0
96,B,1.0
97,C,1.0
98,D,1.0
99,E,1.0
100,A,1.0
101,B,1.0
102,C,1.0
103,D,1.0
104,E,1.0
105,A,1.0
106,B,1.0
107,C,1.0
108,D,1.0
109,E,1.0
110,A,1.0
111,B,1.0
112,C,1.0
113,D,1.0
114,E,1.0
115,A,1.0
116,B,1.0
117,C,1.0
118,D,1.0
119,E,1.0
120,A,1.0
121,B,1.0
122,C,1.0
123,D,1.0
124,E,1.0
125,A,1.0
126,B,1.0
127,C,1.0
128,D,1.0
129,E,1.0
130,A,1.0
131,B,1.0
132,C,1.0
133,D,1.0
134,E,1.0
135,A,1.0
136,B,1.0
137,C,1.0
138,D,1.0
139,E,1.0
140,A,1.0
141,B,1.0
142,C,1.0
143,D,1.0
144,E,1.0
145,A,1.0
146,B,1.0
147,C,1.0
148,D,1.0
149,E,1.0
150,A,1.0
151,B,1.0
152,C,1.0
153,D,1.0
154,E,1.0
155,A,1.0
156,B,1.0
157,C,1.0
158,D,1.0
159,E,1.0
160,A,1.0
161,B,1.0
162,C,1.0
163,D,1.0
164,E,1.0
165,A,1.0
166,B,1.0
167,C,1.0
168,D,1.0
169,E,1.0
170,A,1.0
171,B,1.0
172,C,1.0
173,D,1.0
174,E,1.0
175,A,1.0
176,B,1.0
177,C,1.0
178,D,1.0
179,E,1.0
180,A,1.0
181,B,1.0
182,C,1.0
183,D,1.0
184,E,1.0
185,A,1.0
186,B,1.0
187,C,1.0
188,D,1.0
189,E,1.0
190,A,1.0
191,B,1.0
192,C,1.0
193,D,1.0
194,E,1.0
195,A,1.0
196,B,1.0
197,C,1.0
198,D,1.0
199,E,1.0
200,A,1.0
201,B,1.0
202,C,1.0
203,D,1.0
204,E,1.0
205,A,1.0
206,B,1.0
207,C,1.0
208,D,1.0
209,E,1.0
210,A,1.0
211,B,1.0
212,C,1.0
213,D,1.0
214,E,1.0
